Date,Close_BHP,Close_CBA,Close_RIO,Close_SHL,Close_SUN,Close_REA,Close_RHC,Close_IAG,Close_ASX,Close_STO,Close_QBE,Close_SYD,Close_BXB,Close_SCG,Close_NCM,Close_COL,Close_ALL,Close_AMC,Close_GMG,Close_WPL,Close_FMG,Close_TCL,Close_TLS,Close_WES,Close_MQG,Close_WOW,Close_ANZ,Close_NAB,Close_WBC,Close_CSL
2010-01-04,40.255737,54.574314,74.919998,15.21,8.91864,9.75,11.24,4.180327,34.526417,12.445209,25.209999,2.99,6.186859,,36.0,,4.08,5.620751,3.075,46.906055,4.49,5.29463,3.45,22.922783,47.204597,27.847349,22.889999,26.06514,25.128922,32.5
2010-01-05,40.442627,55.399841,76.349998,15.25,9.052523,9.76,11.03,4.14959,34.959595,12.628099,25.34,3.08,6.322734,,36.720001,,4.24,5.504027,3.25,47.340279,4.6,5.399948,3.44,23.223433,48.119186,27.679056,23.0,26.398088,25.337502,32.119999
2010-01-06,40.947224,55.678333,78.580002,15.04,8.856848,9.8,11.18,4.200819,34.703625,12.723898,24.950001,3.14,6.232151,,36.720001,,4.12,5.504027,3.225,47.764633,5.2,5.29463,3.38,22.878784,48.394547,27.629559,22.66,25.884398,25.218313,31.799999
2010-01-07,40.900501,55.141243,79.0,14.85,8.980432,9.85,11.14,4.159836,34.024323,12.575844,24.5,3.07,6.358968,,37.150002,,4.12,5.450153,3.25,48.258072,5.17,5.313779,3.32,22.512136,47.686478,27.570162,22.120001,25.675116,24.880611,32.049999
2010-01-08,40.760338,55.857365,79.010002,14.77,9.031925,9.7,11.07,4.211065,34.762695,12.445209,24.77,3.08,6.377084,,36.200001,,4.05,5.530963,3.225,48.060696,5.06,5.313779,3.38,23.069441,48.089684,27.807751,22.25,25.589499,24.979937,32.110001
2010-01-11,41.554611,56.265156,80.0,15.08,9.124613,9.75,11.2,4.211065,34.329517,12.541008,24.98,3.06,6.503901,,36.82,,4.1,5.620751,3.2,48.633083,5.29,5.304204,3.35,23.135439,48.089684,27.718655,22.389999,25.922447,25.009733,31.93
2010-01-12,40.638859,56.265156,78.370003,14.68,9.093717,9.74,11.45,4.14959,34.162151,12.558426,24.450001,2.99,6.413318,,37.279999,,4.07,5.674624,3.15,47.991615,5.21,5.275481,3.31,23.025444,47.588135,27.510765,22.26,25.637062,25.009733,31.889999
2010-01-13,40.293114,55.708172,77.120003,14.82,8.959835,9.79,11.67,4.108606,34.526417,12.192647,24.5,3.0,6.304617,,36.84,,4.05,5.584836,3.15,47.942272,5.11,5.265907,3.34,22.805454,47.824158,27.629559,22.299999,25.513397,24.930273,31.559999
2010-01-14,40.909847,56.483971,79.150002,14.71,9.042224,9.7,11.8,4.036885,34.270447,12.149102,24.57,2.99,6.304617,,36.48,,4.04,5.638709,3.125,47.78437,5.28,5.29463,3.35,22.746792,49.59433,27.847349,22.4,25.732191,25.208382,31.57
2010-01-15,40.788368,57.786911,78.620003,14.98,9.021627,9.6,11.9,4.026639,34.14246,11.98363,24.040001,3.0,6.241209,,36.169998,,4.05,5.656667,3.125,47.024479,5.38,5.304204,3.33,22.768789,49.771347,27.659258,22.43,25.970013,25.327568,31.52
2010-01-18,40.592136,57.737179,78.32,14.76,9.114315,9.6,11.86,4.026639,34.103081,12.088138,24.030001,3.01,6.304617,,36.080002,,4.03,5.638709,3.125,46.619862,5.29,5.304204,3.37,22.534136,50.843285,27.540464,23.17,26.160269,25.834122,31.299999
2010-01-19,40.470657,56.334778,77.949997,14.19,9.258496,9.32,11.8,3.965163,33.906181,11.931376,23.76,2.91,6.150625,,35.950001,,4.03,5.486069,3.075,46.136295,5.17,5.29463,3.33,22.453474,50.843285,27.223679,23.200001,26.112703,25.526217,31.299999
2010-01-20,40.564102,56.255211,78.040001,14.2,9.371781,9.25,11.87,4.016393,34.49688,11.870413,23.889999,3.1,6.132509,,35.400002,,4.05,5.486069,3.075,45.889576,5.14,5.313779,3.35,22.490139,51.816879,27.23358,23.27,26.112703,25.307705,31.209999
2010-01-21,39.872616,56.255211,75.550003,14.53,9.495365,9.17,11.67,4.047131,34.162151,11.739777,23.5,3.0,6.268384,,34.110001,,4.07,5.468111,3.05,45.297455,4.99,5.323353,3.4,22.167488,52.416771,27.223679,23.26,25.865372,25.436827,31.07
2010-01-22,38.966209,55.449574,72.940002,14.22,9.320288,9.04,11.72,4.016393,33.246567,11.80074,23.08,2.93,6.087217,,33.310001,,4.07,5.414238,3.0,43.787537,4.81,5.29463,3.37,21.536856,50.744942,27.223679,22.65,25.418268,25.208382,31.139999
2010-01-25,38.545712,54.852806,73.339996,14.4,9.217301,9.14,11.55,3.965163,32.951218,11.661396,22.91,2.94,6.050983,,33.310001,,4.01,5.333429,2.925,43.422394,4.79,5.237184,3.45,21.412195,50.449913,27.20388,22.290001,25.247038,24.751492,31.25
2010-01-27,37.65799,54.335609,69.900002,14.49,9.114315,9.14,11.36,3.944672,33.236721,11.44367,23.280001,2.89,5.915108,,32.299999,,4.0,5.270577,2.85,42.43552,4.54,5.237184,3.43,21.008884,50.48925,26.530712,21.959999,25.01873,24.165482,31.35
